,IGAE,Remesas,USDMXN,Inversión fija bruta,Inflación MX,Ingresos tributarios MX
01/06/12,89.78838737,2096.1395,13.9192,93.12,0.043352232,657919.6
01/07/12,89.91515409,1862.7014,13.3661,101,0.04419971,772518
01/08/12,89.4485918,1889.6558,13.1845,97.9,0.045679377,879345.7
01/09/12,87.31430406,1661.5842,12.9394,96.66,0.047717659,988936.7
01/10/12,91.3645989,1771.3108,12.891,103.54,0.045960951,1091066.3
01/11/12,93.41078223,1692.2529,13.0746,107.06,0.041798518,1198472.2
01/12/12,90.41841117,1704.4423,12.8705,105.29,0.035682901,1314439.6
01/01/13,87.6621291,1530.9493,12.699,87.98,0.032545746,160726.9
01/02/13,85.1392285,1653.7933,12.7229,90.58,0.035522889,291264.7
01/03/13,87.34897303,1855.5856,12.5247,88.08,0.042522661,405842.3
01/04/13,90.45814152,1990.6289,12.205,94.71,0.04649422,530081.3
01/05/13,91.66901409,2105.1707,12.3115,92.9,0.04631421,660226.4
01/06/13,89.2623067,2001.2296,12.9596,87.29,0.040880259,789186.5
01/07/13,91.10696457,1890.2772,12.7659,96.24,0.034726197,925198.8
01/08/13,90.19141142,1953.6304,12.9178,92.02,0.034565297,1050858.3
01/09/13,88.21847671,1828.3274,13.0759,89.65,0.033902957,1170802.1
01/10/13,92.82460983,1911.9983,12.9992,98.43,0.033591147,1290681.9
01/11/13,93.04807137,1731.6637,13.0796,98.83,0.036186908,1413901.4
01/12/13,92.09471306,1849.4966,13.0076,105.32,0.03974041,1561751.6
01/01/14,88.05490076,1642.2232,13.223,84.47,0.044828103,207890.5
01/02/14,86.92398126,1719.2445,13.2808,88.48,0.042344373,335108.3
01/03/14,91.5121887,2098.2592,13.1951,92.11,0.037586463,483804.6
01/04/14,90.60653817,1976.3673,13.0708,92.19,0.034967083,655520.4
01/05/14,93.77143135,2146.9543,12.9247,92.33,0.035102246,788189.9
01/06/14,92.24061537,2043.4553,12.9958,91.66,0.037525883,923932.8
01/07/14,94.15094509,1998.1848,12.9904,96.53,0.040724068,1067550.1
01/08/14,91.26936301,2004.331,13.1406,94.76,0.041499113,1210583.8
01/09/14,91.30532504,1965.0674,13.2352,94.49,0.042175835,1346596
01/10/14,95.61957329,2042.1377,13.4763,105.64,0.042977576,1492552.5
01/11/14,94.90226574,1776.0464,13.6216,105.22,0.041678696,1636400.4
01/12/14,95.49939764,2235.0127,14.5129,110.99,0.040813222,1807813.8
01/01/15,90.61957881,1626.8265,14.6926,91.16,0.030656413,241470.7
01/02/15,89.26889451,1842.5174,14.9213,89.52,0.030002659,415273.5
01/03/15,94.33619915,2254.2732,15.2283,94.62,0.031370751,665286
01/04/15,92.93042157,2006.1882,15.2262,96.6,0.030623271,872428.1
01/05/15,94.01925605,2191.0587,15.2645,94.27,0.028766432,1043427.2
01/06/15,95.59896047,2156.0087,15.483,98.59,0.0287078,1228942.9
01/07/15,96.24415359,2234.8851,15.9396,104.4,0.027390474,1419020.1
01/08/15,93.90606372,2253.1487,16.5368,102.1,0.025873162,1610471.3
01/09/15,95.48701623,2055.1324,16.8578,104.41,0.025188916,1793324.7
01/10/15,97.28845556,2068.8161,16.564,104.79,0.024797284,1971272.5
01/11/15,96.71799329,1895.1813,16.6357,107.96,0.022148528,2149516.2
01/12/15,97.50571032,2200.7363,17.0666,111.88,0.021308128,2366465.6
01/01/16,91.73034056,1932.4979,18.0728,90.69,0.026131045,244659
01/02/16,92.72014333,2082.2151,18.4731,95.86,0.028672509,440265.3
01/03/16,94.1207133,2191.1363,17.649,94.04,0.026010103,723164.3
01/04/16,95.74404037,2171.3015,17.4877,99.07,0.025415794,960845.7
01/05/16,95.99571627,2478.2101,18.1542,94.95,0.025966625,1169648.5
01/06/16,97.37961967,2312.3136,18.653,97.9,0.025379877,1393106.6
01/07/16,95.39198448,2248.6248,18.6014,96.61,0.026548283,1625975.9
01/08/16,96.88236416,2269.2888,18.4749,103.22,0.027274366,1826909.1
01/09/16,95.74035834,2374.0707,19.1924,102.23,0.029689495,2041699.5
01/10/16,97.66907953,2220.1971,18.8924,104.45,0.030636224,2238760.7
01/11/16,100.8585613,2370.9655,20.1185,110.96,0.03305351,2458150.7
01/12/16,99.79922557,2342.4602,20.5206,115.28,0.033602739,2716219.1
01/01/17,95.16551932,2147.8962,21.3853,93.7,0.047182814,257123
01/02/17,93.34757652,2141.9286,20.2905,92.93,0.048642314,482984.9
01/03/17,99.90448517,2618.4356,19.301,99.9,0.053525614,732530.9
01/04/17,94.26943053,2404.4485,18.7875,89.82,0.058171702,1012738
01/05/17,99.1766943,2694.8252,18.7557,97.87,0.061640136,1235623.2
01/06/17,99.90830414,2552.3467,18.1326,99.44,0.063136562,1468911.7
01/07/17,96.52189459,2599.9785,17.8283,97.96,0.064381651,1722234.8
01/08/17,99.22904209,2617.6073,17.807,102.88,0.06663489,1953783.4
01/09/17,95.74842948,2489.214,17.8357,101.59,0.063478466,2177176.8
01/10/17,99.43526065,2842.5028,18.8161,101.94,0.063715323,2382282.5
01/11/17,102.766051,2420.8104,18.9158,105.25,0.066345231,2595271.9
01/12/17,100.7709696,2760.5513,19.1812,112.46,0.06773048,2849528.7
01/01/18,97.3380867,2267.623,18.9074,95.95,0.055458362,298217
01/02/18,95.24639782,2244.4429,18.6449,95.42,0.053392169,536572.6
01/03/18,98.90470873,2674.8575,18.6308,96.18,0.050354124,784411.7
01/04/18,98.84557993,2760.9455,18.3872,98.36,0.04550783,1078278.9
01/05/18,101.9545012,3155.952,19.591,101.15,0.045062695,1306361.3
01/06/18,101.2027237,3140.6653,20.3032,100.23,0.046468575,1558076.6
01/07/18,100.125359,2858.0037,19.0095,101.74,0.048114051,1833150.8
01/08/18,101.611471,2883.364,18.8575,101.29,0.049045278,2067470.3
01/09/18,98.03487565,2718.0975,19.0154,101.32,0.050195739,2299285.7
01/10/18,102.4204146,3017.3339,19.1859,105.68,0.049036359,2545587.4
01/11/18,104.1316016,2964.7711,20.2612,100.42,0.047165339,2790797.4
01/12/18,100.1842801,2991.1708,20.1112,102.24,0.048305462,3062334
01/01/19,98.53010159,2484.7923,19.1651,96.63,0.043656055,318497.4
01/02/19,95.90017908,2467.0416,19.2049,92.98,0.039402762,577751.5
01/03/19,100.1349071,2992.9243,19.2477,95.39,0.040041779,857996.4
01/04/19,97.67163398,2970.2291,18.9864,94.56,0.044134534,1173543.4
01/05/19,101.7709763,3317.6509,19.1197,94.87,0.042819934,1425810.7
01/06/19,100.105021,3218.3491,19.2745,92.47,0.039471468,1694099.2
01/07/19,100.5522183,3293.6964,19.0534,94.83,0.037813383,1958257
01/08/19,100.2733553,3393.7313,19.685,96.65,0.031624408,2202628.1
01/09/19,97.75777745,3101.2411,19.5865,92.89,0.029975128,2445507.9
01/10/19,100.6140017,3155.0148,19.3242,96.78,0.030195189,2685308.2
01/11/19,102.9224456,2924.9149,19.3325,97.71,0.029744973,2921522.6
01/12/19,100.3041297,3119.1723,19.1071,99.13,0.02828577,3202650.7
01/01/20,98.27801628,2620.8224,18.804,89.88,0.03238352,364600.7
01/02/20,95.35568944,2731.9385,18.8443,85.54,0.036961942,628353.6
01/03/20,96.85934355,4044.8095,22.3784,86.38,0.032490626,1004733.3
01/04/20,75.9066363,2909.5076,24.2658,59.72,0.021481489,1277850
01/05/20,76.67375285,3445.4017,23.423,58.93,0.02837271,1499452.2
01/06/20,86.34895118,3536.9615,22.299,71.99,0.03334011,1748838.2
01/07/20,90.49907682,3531.8212,22.4033,74.84,0.036234051,2004224.9
01/08/20,91.32362947,3574.2006,22.2072,77.89,0.040484229,2262507.8
01/09/20,92.72801854,3569.9955,21.681,79.1,0.040137769,2505151.3
01/10/20,96.08931076,3601.7004,21.2705,81.72,0.04086964,2761712
01/11/20,98.73815986,3387.336,20.3819,87.52,0.033318778,3024272.3
01/12/20,98.23761678,3650.0589,19.9651,89.01,0.031500746,3338943.1
01/01/21,92.6646288,3287.3901,19.9215,79.54,0.035350926,355562.2
01/02/21,90.42781768,3170.7425,20.3097,80.54,0.037590398,620519.7
01/03/21,99.22422269,4157.3441,20.7555,88.13,0.046668788,1024010.8
01/04/21,95.54503237,4048.3026,20.0153,85.75,0.060848187,1297533.3
01/05/21,97.79574833,4525.8605,19.9631,85.4,0.058938226,1575683.4
01/06/21,97.94861616,4457.5306,20.0301,82.11,0.058786056,1856245.7
01/07/21,96.88438838,4545.0595,19.9701,85.71,0.058058151,2154071.5
01/08/21,95.48676386,4748.7471,20.0761,88.91,0.055920717,2443306.1
01/09/21,93.55899955,4408.9427,20.0487,85.74,0.06000148,2702104.5
01/10/21,95.72463375,4822.0725,20.4626,87.45,0.062395425,2955117.9
01/11/21,100.7697203,4661.5952,20.9004,91.42,0.073748806,3211168.5
01/12/21,100.2131056,4752.2797,20.8918,94.54,0.073551079,3566621.9
01/01/22,94.52726043,3918.1783,20.4978,87.26,0.070701388,379831.7
01/02/22,93.69420641,3911.3357,20.4495,85.53,0.072799733,660090.2
01/03/22,101.4139105,4692.5131,20.5562,96.03,0.074536772,1120917.6
01/04/22,97.44874364,4707.8655,20.1088,92.14,0.076825029,1457953.6
01/05/22,100.9241316,5142.0283,20.0305,93.33,0.07652621,1750112.1
01/06/22,100.0050045,5143.9831,20.0237,90.74,0.079863385,2052104.3
01/07/22,99.85680715,5301.4363,20.5467,88.93,0.081508066,2344097
01/08/22,101.8361392,5123.8385,20.1209,95.67,0.086954231,2624751.8
01/09/22,99.0473049,5036.8688,20.075,91,0.086997496,2902358.5
01/10/22,100.5239264,5361.4032,19.9845,93.83,0.084068154,3171869.9
01/11/22,105.2227295,4817.5963,19.4449,98.54,0.077966189,3467836.8
01/12/22,103.9165818,5353.0367,19.593,104.93,0.078170287,3812519.8
01/01/23,98.85830116,4426.9092,18.9863,97.44,0.079100354,432529.4
01/02/23,96.72891857,4360.3777,18.5986,98.38,0.076188635,741846.8
01/03/23,103.7891852,5186.7874,18.3749,108.04,0.068492581,1153219.5
01/04/23,99.09804187,5002.6207,18.0855,103.25,0.062528454,1601451.1
01/05/23,105.3069282,5696.8819,17.7373,115.03,0.058353027,1924518.1
01/06/23,104.0569763,5575.195,17.2412,114.39,0.050555537,2275086.3
01/07/23,103.1336796,5662.754,16.9049,112.29,0.047857631,2647507.5
01/08/23,105.6032445,5558.7934,16.9766,123.65,0.046380136,2996792.3
01/09/23,102.4222537,5606.3857,17.3077,110.89,0.044544878,3351279.3
01/10/23,104.79,5811.5347,18.0823,110.89,0.042570005,3697389.2
