,Indicador global de la actividad económica. Total (IGAE) Base 2013 Serie original,Remesas Familiares Total,Tipo de cambio                                            Pesos por dólar E.U.A. Para solventar obligaciones denominadas en moneda extranjera Fecha de determinación (FIX)                              Cotizaciones promedio,Indice de volumen de la inversión fija bruta Total,IPC Por objeto del gasto                                                         Nacional I n d i c e   G e n e r a l,Balanza de pagos con base en MBP6 (a partir de 2002) Cuenta corriente (I - II)
2004-04-01,4.418071637515926,7.322190105286798,2.422596754529012,4.228584037430304,4.032168262175423,1.9440858197011712
2004-05-01,4.445460248751401,7.478959546079041,2.4434247153330593,4.2021520815229785,4.029656749941161,1.9440858197011712
2004-06-01,4.449929412224273,7.4293575060056,2.4326830982840346,4.2130160919396,4.031258230591198,1.9440858197011712
2004-07-01,4.41811986619705,7.41117917743906,2.4391767980818257,4.25589635752967,4.033875792843377,1.7519407140944132
2004-08-01,4.420434517570136,7.4881859548143055,2.433104454002272,4.2520603082138555,4.040029883484899,1.7519407140944132
2004-09-01,4.409124887974326,7.369500337416359,2.4411637268400814,4.257738109130536,4.048264270529383,1.7519407140944132
2004-10-01,4.435125360788303,7.332988830795693,2.433464221473521,4.260282639765531,4.055166129508322,2.096011833937008
2004-11-01,4.45366683223223,7.317321565748568,2.4308111873782066,4.334672938290411,4.063660226305105,2.096011833937008
2004-12-01,4.457025103075245,7.355712857588328,2.4162797827418228,4.369321262176328,4.065723664011032,2.096011833937008
2005-01-01,4.409865512090382,7.220780703466956,2.4213187877419586,4.245060779600724,4.065759199367996,2.096779514637993
2005-02-01,4.393206407473285,7.264294113658424,2.41024596081191,4.218624962732438,4.069085402090641,2.096779514637993
2005-03-01,4.426359259713339,7.433423957553896,2.4107845749707337,4.268997904375876,4.073582531845932,2.096779514637993
2005-04-01,4.461227064654207,7.469256830604173,2.4084124996413094,4.297965447047447,4.077137618223371,1.6397185429465542
2005-05-01,4.476073516853677,7.629138688539955,2.395465049469074,4.2447740412475055,4.074622198704698,1.6397185429465542
2005-06-01,4.458433123926385,7.561787444802527,2.3816550199775257,4.250350662548819,4.073661858772486,1.6397185429465542
2005-07-01,4.42824444555861,7.517684206824894,2.3681949150837776,4.27151398062636,4.077567951914922,1.442236980361493
2005-08-01,4.459348721736196,7.630083957603647,2.369140329194062,4.32055008757213,4.078761355637051,1.442236980361493
2005-09-01,4.438437685974675,7.542208426065128,2.377460627639153,4.313212318673522,4.082761166310431,1.442236980361493
2005-10-01,4.464218185774921,7.529555533727872,2.3825416431099726,4.310664888188185,4.085212659698414,2.040317690270324
2005-11-01,4.484778375435643,7.542719061761993,2.3672954743628014,4.410006521180839,4.092384191951321,2.040317690270324
2005-12-01,4.490332682987935,7.56638451103635,2.36363315455898,4.455625548708074,4.098507750780593,2.040317690270324
2006-01-01,4.466432119273311,7.472105953912855,2.3558414592944774,4.319353040145823,4.104354726268726,1.9825905777725013
2006-02-01,4.43180440623664,7.508342883356808,2.3497835148230464,4.290048397777529,4.105883696265381,1.9825905777725013
2006-03-01,4.494686569631495,7.674541414581614,2.374608035841243,4.397899983830172,4.107137581478566,1.9825905777725013
2006-04-01,4.467085586087188,7.636608204348753,2.4017152401512196,4.344194956364874,4.1086027132910266,1.509459168191712
2006-05-01,4.534097295618086,7.837790718108313,2.4062511739077954,4.36665915754276,4.104141003347063,1.509459168191712
2006-06-01,4.514901874577283,7.758018296086776,2.432849906152485,4.35182512594076,4.105004179426018,1.509459168191712
2006-07-01,4.481406929402448,7.692408549325777,2.396603529766549,4.386392092183521,4.107742639132046,1.5364132523565042
2006-08-01,4.502541491063381,7.75546027076582,2.386190676848843,4.430816798843313,4.112832747586493,1.5364132523565042
2006-09-01,4.475848207051747,7.6690089516442015,2.3965580154318014,4.423168578005057,4.122877142284863,1.5364132523565042
2006-10-01,4.517403978731216,7.74782323793311,2.388496698790304,4.424247650107844,4.127239524679017,1.9997838690609204
2006-11-01,4.512453839288254,7.582128323167746,2.390385325422058,4.481532545529913,4.132472643414016,1.9997838690609204
2006-12-01,4.509335268533043,7.569785767920804,2.3839715128664656,4.512396785835737,4.138240610992329,1.9997838690609204
2007-01-01,4.486130986688415,7.535258901409296,2.3936042613811876,4.358630056867486,4.143391963144592,2.1389987008780484
2007-02-01,4.451649474355862,7.526598114262266,2.3978770908148976,4.356580613342406,4.1461832020484595,2.1389987008780484
2007-03-01,4.515487243543293,7.690068301504418,2.408196577156642,4.432125465974346,4.148345144429938,2.1389987008780484
2007-04-01,4.492232144369906,7.680897781477547,2.3961300793971545,4.399620943074833,4.147747799946187,2.0175352016858614
2007-05-01,4.54671870119801,7.788115947969798,2.38109123614134,4.422688616392771,4.14285744985871,2.0175352016858614
2007-06-01,4.538331421317676,7.740914588009395,2.3827816349883224,4.388753955423308,4.144057633714857,2.0175352016858614
2007-07-01,4.51536582132802,7.770429683473643,2.3805548844297264,4.463376180370204,4.148296066271081,1.9359273414429303
2007-08-01,4.524147748536032,7.78826342217374,2.4020321586198055,4.4868369990262265,4.152361803460496,1.9359273414429303
2007-09-01,4.493961491910837,7.689889691577206,2.4007548167662893,4.509979998984343,4.160096456299899,1.9359273414429303
2007-10-01,4.556819925047044,7.7696501400311115,2.3816827388526955,4.545738602218665,4.163985745731613,2.0417408264972203
2007-11-01,4.541263998218963,7.579945232952597,2.3875326751567454,4.576153236917599,4.171015761975557,2.0417408264972203
2007-12-01,4.526745834735749,7.5856698806486715,2.3840176036745837,4.5976419195673,4.175141692939303,2.0417408264972203
2008-01-01,4.510357182571101,7.485323019185213,2.3896797998449792,4.4835673642288425,4.179766070484404,2.123805093337308
2008-02-01,4.488516137785468,7.528176700921729,2.3764394615645257,4.495466920896128,4.182734397035382,2.123805093337308
2008-03-01,4.489235066881724,7.657446531935184,2.3731647049422526,4.454928522657548,4.18995607540884,2.123805093337308
2008-04-01,4.550875549972154,7.689227115469968,2.3528408493250876,4.55744944977668,4.192229107320902,2.0488551618350455
2008-05-01,4.5524485035187805,7.771330442358365,2.345184706612863,4.526235197899949,4.191148096114914,2.0488551618350455
2008-06-01,4.5481330589102535,7.725147593019005,2.334974835795697,4.524285457247627,4.195277811985188,2.0488551618350455
2008-07-01,4.544988028769757,7.688527227535647,2.3239061746977296,4.604269780744927,4.200835323911173,2.1139833014948
2008-08-01,4.516263559601946,7.648532427134148,2.3134755758252186,4.517431271680085,4.206593676907147,2.1139833014948
2008-09-01,4.506194797505176,7.6562435953543435,2.364968167825344,4.506123032386857,4.213385103183461,2.1139833014948
2008-10-01,4.559197449140268,7.877667494905754,2.536185777408536,4.564764771353053,4.220176393319055,2.177754137770725
2008-11-01,4.522252599808608,7.468618345884505,2.573680361841428,4.539991459963097,4.231479026813208,2.177754137770725
2008-12-01,4.520647709115333,7.485440933346141,2.596939853463777,4.569853840860524,4.238380719431746,2.177754137770725
2009-01-01,4.441425800042837,7.360724073308067,2.6313203332434805,4.361696368200631,4.240695603797969,2.008051602039019
2009-02-01,4.404778340532552,7.501519211043966,2.68078862488197,4.3209487851652915,4.242900966083619,2.008051602039019
2009-03-01,4.464454188647193,7.656860302985717,2.6857705084111285,4.368054477106998,4.248637374805163,2.008051602039019
2009-04-01,4.434508784592562,7.492647982637201,2.597989769231889,4.354526960971297,4.25213133771967,1.8227114164892397
2009-05-01,4.455295683601326,7.5524988281592265,2.5773414876346052,4.3425058765115985,4.249214383405217,1.8227114164892397
2009-06-01,4.479428942632911,7.567356637690492,2.5909019639186353,4.376888456817758,4.2510541652110225,1.8227114164892397
2009-07-01,4.485617209910865,7.523063829437378,2.5926692780618388,4.444296960400006,4.2537743686217455,2.1283141379794146
2009-08-01,4.460763875211266,7.495210666795838,2.565564552805455,4.378520495344594,4.2561641038718685,2.1283141379794146
2009-09-01,4.46018834360875,7.465777054297062,2.5968355463238586,4.397653890559581,4.261167692012115,2.1283141379794146
2009-10-01,4.512183903840689,7.436002757075603,2.582161906400328,4.450269224770129,4.264188470935474,1.964897765953246
2009-11-01,4.513593129400262,7.320407961148707,2.5733295301378973,4.445822692753958,4.269362372588875,1.964897765953246
2009-12-01,4.520225399401484,7.358525501394982,2.5543627473025405,4.55081959123801,4.273492407561917,1.964897765953246
2010-01-01,4.464378213313815,7.188279872686054,2.549593597409816,4.381651564343798,4.2843041801730735,1.7414271881852077
2010-02-01,4.445320631712498,7.348239014604378,2.560508743281551,4.347176357238135,4.290071297337176,1.7414271881852077
2010-03-01,4.524960714410228,7.578066799248087,2.5316073309200813,4.440884991680235,4.297145600528063,1.7414271881852077
2010-04-01,4.506253309867033,7.492632381877577,2.503908302795131,4.438052462936409,4.293954217707643,1.7447729229706053
2010-05-01,4.525044141508807,7.671457097503304,2.5449664062156634,4.401584133889412,4.2876332320009505,1.7447729229706053
2010-06-01,4.535080284412184,7.546914432358094,2.5431205249511497,4.4309358393767555,4.287320038926046,1.7447729229706053
2010-07-01,4.52535503575473,7.536065333826602,2.5509206443790617,4.455973879625964,4.289488970393945,1.6324184119294705
2010-08-01,4.517018522755507,7.579543829300961,2.5470595150100843,4.44500143383527,4.2922626089842355,1.6324184119294705
2010-09-01,4.50597396529811,7.449474910293588,2.549421733150909,4.454114711068136,4.297490963321775,1.6324184119294705
2010-10-01,4.5416476818637195,7.456473156967378,2.5207080622513836,4.516994495084366,4.303645086094612,2.139486818547892
2010-11-01,4.564028348656911,7.397496643712742,2.5127730822680285,4.552823705615882,4.311625374551667,2.139486818547892
2010-12-01,4.560129932108392,7.451141215364698,2.5167686229367443,4.627616374817921,4.31656707617826,2.139486818547892
2011-01-01,4.502090400819397,7.2464888140825305,2.4953354140284465,4.451086170605376,4.3214268930166835,2.045258007229225
2011-02-01,4.4837785220576825,7.4091707255856845,2.490747889812987,4.406231323370699,4.325171321952971,2.045258007229225
2011-03-01,4.562565353155654,7.628475067303664,2.4848399808990127,4.466712392840524,4.327087901108176,2.045258007229225
2011-04-01,4.517431271680085,7.539502900038985,2.4611602560579997,4.457481913088487,4.32700853020744,2.0222025931392134
2011-05-01,4.563788659959274,7.681794560225374,2.455589401703235,4.4862740310442355,4.319609382054529,2.0222025931392134
2011-06-01,4.569421757471034,7.611996294760695,2.4686078768184974,4.535820107853298,4.319559406926326,2.0222025931392134
2011-07-01,4.556167949332879,7.553133368899604,2.457244214971256,4.558602550171757,4.324345971250062,2.1291242872137435
2011-08-01,4.569947071778035,7.670379826975249,2.504047293315384,4.578723535973108,4.325926476859919,2.1291242872137435
2011-09-01,4.544380363026699,7.642989397683713,2.568366588992489,4.536891345234797,4.328376789484534,2.1291242872137435
2011-10-01,4.579213199413708,7.556239817919643,2.597863242067455,4.607766811835357,4.335101575115011,2.063931268177132
2011-11-01,4.615939982967357,7.487663154240567,2.61734473663818,4.659374240001603,4.34585958334588,2.063931268177132
2011-12-01,4.593256499012052,7.487751454449015,2.6224124257443084,4.724640685964258,4.354043547216489,2.063931268177132
2012-01-01,4.5504457487987375,7.31742911794435,2.5965821836785894,4.499031589926425,4.361097247572225,2.1389787782295007
2012-02-01,4.544134854842125,7.488984155180127,2.5481239860450615,4.518631424570852,4.36312810206091,2.1389787782295007
2012-03-01,4.596050729862897,7.645715917562796,2.5460566237788913,4.543932876516902,4.363702124174631,2.1389787782295007
2012-04-01,4.558909470065456,7.616531339841918,2.570296574044466,4.54063166485052,4.360560118882673,1.9612494359493877
2012-05-01,4.608318225707366,7.758976276650039,2.6147207250750717,4.563931437971494,4.357398575937365,1.9612494359493877
2012-06-01,4.602033271010936,7.647852598569735,2.6332691819903693,4.533888983983128,4.361998236143295,1.9612494359493877
2012-07-01,4.59825533340567,7.529783078635818,2.5927216507307995,4.61512051684126,4.367596735142751,2.098639237269321
2012-08-01,4.596121368649473,7.544149975066366,2.579041897205272,4.583946549536464,4.370593272172703,2.098639237269321
2012-09-01,4.555866489983755,7.415526763609615,2.5602769201461095,4.571199666416938,4.374990929544505,2.098639237269321
2012-10-01,4.623598339716334,7.479475116456697,2.5565293934609676,4.639958011473755,4.380037607870926,2.208604758258833
2012-11-01,4.6481003567424075,7.433815997082034,2.5706714167487936,4.673389424965236,4.386808147499782,2.208604758258833
2012-12-01,4.610438285154076,7.440993239435605,2.554937870892242,4.656718447868668,4.389104564427086,2.208604758258833
2013-01-01,4.584647019165644,7.333643279498638,2.5415232502068963,4.477109515920573,4.393124598823177,2.2030578312967752
2013-02-01,4.550407723093357,7.41082689800401,2.543403519348177,4.506233438128068,4.398034608134055,2.2030578312967752
2013-03-01,4.5753375862674375,7.525955612554311,2.527702694588264,4.478245492414424,4.405345535861965,2.2030578312967752
2013-04-01,4.604331834669808,7.596205897942283,2.5018457038449236,4.55081959123801,4.406005858716801,2.2144439676760155
2013-05-01,4.62766819707931,7.652151835465231,2.510533784925713,4.531523645819793,4.4026722888759435,2.2144439676760155
2013-06-01,4.600333508096564,7.6015170706299875,2.5618368262502886,4.469235908747258,4.402064993987008,2.2144439676760155
2013-07-01,4.613235573133717,7.54447876396585,2.546777553495963,4.566845071666424,4.401733583373402,2.159772878332496
2013-08-01,4.607902449953068,7.57744466425093,2.5586062052176315,4.522005944727322,4.404574607704574,2.159772878332496
2013-09-01,4.572717239749145,7.5111568388217345,2.5707708412340673,4.495913200051142,4.408331848762276,2.159772878332496
2013-10-01,4.6411857681924245,7.555904204489613,2.5648878171064293,4.58934563564112,4.413076896951288,2.2071058944068316
2013-11-01,4.646616305701692,7.456837901677995,2.5710537645216878,4.593401202388092,4.422355687718449,2.2071058944068316
2013-12-01,4.632800917102278,7.522668772936134,2.5655338020251515,4.657003334628109,4.4280756405374495,2.2071058944068316
2014-01-01,4.592644060622684,7.403806212564985,2.581957737574686,4.436396441739405,4.436976976404782,2.212270825039401
2014-02-01,4.574263455699577,7.449640229125467,2.586319383197729,4.482776537774025,4.439506989046526,2.212270825039401
2014-03-01,4.620008550914036,7.648863327559544,2.579845548554838,4.522983515000144,4.442242843689397,2.212270825039401
2014-04-01,4.608351121444331,7.589015741600963,2.570380734638231,4.523851664810503,4.440375480640479,2.199071582116442
2014-05-01,4.652633756335197,7.67180551213757,2.5591402092933957,4.525369115784536,4.4371724989995185,2.199071582116442
2014-06-01,4.633699332102065,7.622397428529707,2.564626228337867,4.518086079080978,4.438903914554937,2.199071582116442
2014-07-01,4.645723664461139,7.599994447423825,2.564210623126045,4.569853840860524,4.441650273320839,2.075073063063401
2014-08-01,4.622383188588968,7.603065618226427,2.575706674114439,4.5513473792905845,4.445235737369968,2.075073063063401
2014-09-01,4.605325173976833,7.583281823969574,2.582879947011809,4.548494008794535,4.4496425252242435,2.075073063063401
2014-10-01,4.671061853709747,7.621752430339393,2.6009325870952695,4.660037087428932,4.455156573351605,2.1532508899079597
2014-11-01,4.66795529579809,7.48214504933696,2.611656768124297,4.656053396302661,4.463189230423232,2.1532508899079597
2014-12-01,4.671718872888017,7.712002189358147,2.6750379090903396,4.709440107163888,4.468077992659364,2.1532508899079597
2015-01-01,4.628102225288181,7.394386463548784,2.6873439656751428,4.512616204377483,4.467172870243142,2.2186984202707496
2015-02-01,4.603874346750972,7.518888067709538,2.7027897223471897,4.494462064003669,4.469068372660945,2.2186984202707496
2015-03-01,4.6536374408850785,7.720582893998345,2.7231555388778133,4.549763178716353,4.473131587163693,2.2186984202707496
2015-04-01,4.641385425688852,7.603991782665563,2.7230176282239964,4.570578741218473,4.4705392176231085,2.1928466465947443
2015-05-01,4.66530433460103,7.692140130656026,2.725529870982855,4.546163005408059,4.4655329448374115,2.1928466465947443
2015-06-01,4.675788003202014,7.67601396727121,2.7397426478347,4.59096983658695,4.467207366220838,2.1928466465947443
2015-07-01,4.677119615879063,7.711945096330187,2.768806578944321,4.648229675448539,4.468672340647347,2.1948879865799404
2015-08-01,4.658546958427106,7.720083939141987,2.805588200502889,4.625952725170619,4.470779853151448,2.1948879865799404
2015-09-01,4.65417842161631,7.62809555307877,2.8248134577013797,4.648325456302019,4.4745194289175805,2.1948879865799404
2015-10-01,4.694046988655515,7.634731790276561,2.8072316656833207,4.65195834748685,4.4796513951322,2.176633957100439
2015-11-01,4.692256643492442,7.547069785763393,2.8115509885370122,4.681760788149804,4.485096042747984,2.176633957100439
2015-12-01,4.69375782003159,7.696547265171122,2.837123337119723,4.717426868333759,4.489162276362823,2.176633957100439
2016-01-01,4.648410693546532,7.566568693785696,2.8944080455608754,4.507447097459476,4.49296833276728,2.223520811492118
2016-02-01,4.649953284965303,7.641187557959415,2.9163156198677544,4.562888793731485,4.497337517075964,2.223520811492118
2016-03-01,4.662575513786724,7.692175546697534,2.8706791245504286,4.543720223671869,4.498809181118915,2.223520811492118
2016-04-01,4.675559681741181,7.683082036329866,2.8614977766667296,4.5958266709849385,4.495637400728084,2.191003183320376
2016-05-01,4.691920195490882,7.815291844712785,2.89890193889954,4.553350437258295,4.4911681620394965,2.191003183320376
2016-06-01,4.70013121393691,7.746003860732385,2.9260069910624256,4.583946549536464,4.492270522238178,2.191003183320376
2016-07-01,4.677722448653093,7.718074108339604,2.9232368467038046,4.570682255529419,4.4948743337898565,2.145221402724788
2016-08-01,4.690875293512465,7.727221757420749,2.916413054099725,4.6368626327205815,4.4976889008653895,2.145221402724788
2016-09-01,4.664012514580781,7.772361355686574,2.954514367337709,4.627225176768922,4.503776724488658,2.145221402724788
2016-10-01,4.705598156622544,7.705351254709062,2.9387597247929995,4.648708488002574,4.509827699661916,2.0782552550231883
2016-11-01,4.73747657860639,7.771052535137104,3.0016397897684524,4.7091697760065765,4.517615032087683,2.0782552550231883
2016-12-01,4.723041217772702,7.758957023573362,3.021429259641177,4.747363951691266,4.5222127805402765,2.0782552550231883
2017-01-01,4.686011651492715,7.672244130438766,3.06270377010514,4.540098189244376,4.539071856982483,2.2523433914744424
2017-02-01,4.656658611336358,7.6694619171187925,3.0101527962152215,4.531846521569248,4.5448338101248,2.2523433914744424
2017-03-01,4.717644935366999,7.87033231918376,2.9601569080400707,4.604269780744927,4.550951448239774,2.2523433914744424
2017-04-01,4.665341999419929,7.785075842314089,2.933191755079093,4.4978076676595915,4.552180010606714,2.0760336377219915
2017-05-01,4.721201465993851,7.8990886203861095,2.9314977062177827,4.583640067437728,4.550983171987397,2.0760336377219915
2017-06-01,4.725592402607271,7.844768489469305,2.89771142319955,4.599554447202456,4.553494081495996,2.0760336377219915
2017-07-01,4.690935870758569,7.863258454744614,2.880787082405148,4.584559232083967,4.5572683551337585,2.151063228408383
2017-08-01,4.716445872477304,7.87001593521872,2.879591638419177,4.633563260489309,4.562197630668763,2.151063228408383
2017-09-01,4.666472225364255,7.81972227697621,2.881202066708995,4.620945105103454,4.565321831909446,2.151063228408383
2017-10-01,4.726045325050496,7.952440210672579,2.934712886327944,4.624384404911896,4.571595501575141,1.8103165801387044
2017-11-01,4.755130383710906,7.791857639125326,2.9399975516658907,4.656243456172092,4.5818521617181664,1.8103165801387044
2017-12-01,4.7361782727523725,7.923185685141356,2.9539306326702275,4.722597602864056,4.587748129483431,1.8103165801387044
2018-01-01,4.709663525757569,7.726487425281053,2.9395533798275424,4.563827222453709,4.593046996185781,2.2400452422066244
2018-02-01,4.680372273664787,7.716212617934028,2.925572650248206,4.5582882000879605,4.596849404098525,2.2400452422066244
2018-03-01,4.711308798849759,7.891651386883118,2.9248161251837543,4.566325402164524,4.60007881693716,2.2400452422066244
2018-04-01,4.714927322328973,7.9233284725104145,2.911654770362779,4.588735879524666,4.5966827392979255,2.116691891072526
2018-05-01,4.752100288649261,8.05704547272463,2.9750702771058952,4.616703421801764,4.595060050366821,2.116691891072526
2018-06-01,4.740084746594593,8.05218993544001,3.010778509092557,4.607567310587813,4.598915315004197,2.116691891072526
